Project_ID,Project_Type,Team_Size,Project_Budget_USD,Estimated_Timeline_Months,Complexity_Score,Stakeholder_Count,Methodology_Used,Team_Experience_Level,Past_Similar_Projects,External_Dependencies_Count,Change_Request_Frequency,Project_Phase,Requirement_Stability,Team_Turnover_Rate,Vendor_Reliability_Score,Historical_Risk_Incidents,Communication_Frequency,Regulatory_Compliance_Level,Technology_Familiarity,Geographical_Distribution,Stakeholder_Engagement_Level,Schedule_Pressure,Budget_Utilization_Rate,Executive_Sponsorship,Funding_Source,Market_Volatility,Integration_Complexity,Resource_Availability,Priority_Level,Organizational_Change_Frequency,Cross_Functional_Dependencies,Previous_Delivery_Success_Rate,Technical_Debt_Level,Project_Manager_Experience,Org_Process_Maturity,Data_Security_Requirements,Key_Stakeholder_Availability,Tech_Environment_Stability,Contract_Type,Resource_Contention_Level,Industry_Volatility,Client_Experience_Level,Change_Control_Maturity,Risk_Management_Maturity,Team_Colocation,Documentation_Quality,Project_Start_Month,Current_Phase_Duration_Months,Seasonal_Risk_Factor,Risk_Level
PROJ_0189,R&D,10,2515543.58,7,3.33,6,Hybrid,Mid-level,2,4,0.03,Planning,Unstable,0.51,0.42,0,4.62,Medium,Expert,4,Excellent,0.15,0.90,Weak,Government,0.72,9.26,0.50,Critical,1.20,0,0.79,0.91,Mid-level PM,Managed,High,Poor,Stable,Fixed-Price,High,Low,Strategic,Basic,Advanced,Hybrid,Excellent,3,10,0.92,Critical
PROJ_0190,Healthcare,19,2119695.52,15,5.28,10,Scrum,Junior,1,4,0.87,Planning,Unstable,0.50,0.49,4,4.10,Critical,New,1,Medium,0.41,1.03,Strong,Government,0.11,1.91,0.97,Low,0.74,6,0.56,0.52,Junior PM,Managed,High,Poor,Stable,Fixed-Price,High,Extreme,Regular,Basic,Basic,Fully Colocated,Excellent,5,4,0.96,Critical
PROJ_0191,Manufacturing,39,2862921.51,7,7.49,18,Agile,Mixed,3,4,1.28,Initiation,Stable,0.47,0.46,0,6.65,High,New,3,Medium,0.36,1.01,Weak,External,0.91,6.74,0.50,High,0.20,5,0.64,0.98,Mid-level PM,Managed,Medium,Moderate,Stable,Cost-Plus,High,Moderate,First-time,Formal,Formal,Hybrid,Basic,1,9,0.81,Critical
PROJ_0192,R&D,21,1095623.47,23,5.31,2,Kanban,Senior,3,1,2.18,Closure,Unstable,0.22,0.46,4,1.56,Low,Familiar,3,Excellent,0.25,0.56,Weak,Internal,0.21,1.46,0.51,Low,1.69,1,0.52,0.98,Junior PM,Optimizing,Low,Moderate,Moderate,Fixed-Price,Medium,Extreme,Occasional,Advanced,Basic,Fully Remote,Basic,8,8,0.88,High
PROJ_0193,Manufacturing,35,2829193.42,25,2.93,16,Hybrid,Mixed,1,4,2.11,Execution,Moderate,0.57,0.40,4,4.25,Low,Expert,4,Medium,0.38,0.39,Weak,Mixed,0.16,9.98,0.97,Medium,0.70,7,0.67,0.76,Mid-level PM,Optimizing,Strict,Excellent,Stable,Fixed-Price,Medium,Moderate,Regular,Basic,Formal,Fully Colocated,Good,3,5,0.81,Critical
PROJ_0194,R&D,39,2685696.69,9,6.53,4,Kanban,Junior,2,4,1.80,Initiation,Moderate,0.49,0.52,3,4.09,Low,New,1,High,0.72,1.05,Moderate,Internal,0.51,8.12,0.73,Critical,1.05,9,0.74,0.03,Mid-level PM,Optimizing,Strict,Moderate,Stable,Time & Materials,High,High,First-time,Formal,None,Fully Remote,Good,1,6,1.19,Medium
PROJ_0195,Healthcare,22,1989910.46,9,9.14,3,Scrum,Junior,2,0,2.55,Initiation,Unstable,0.48,0.63,0,6.72,Medium,Expert,3,High,0.56,0.96,Weak,Government,0.37,8.66,0.68,Medium,0.00,5,0.57,0.75,Junior PM,Ad-hoc,Low,Good,Moderate,Time & Materials,Low,High,Strategic,Formal,Formal,Fully Colocated,Good,8,4,1.08,Critical
PROJ_0196,Construction,46,1974976.88,9,6.28,15,Scrum,Junior,1,4,1.94,Closure,Stable,0.13,0.67,4,4.50,Low,New,4,Low,0.84,1.08,Moderate,External,0.71,7.43,0.31,Medium,0.98,4,0.55,0.69,Mid-level PM,Managed,High,Good,Moderate,Time & Materials,High,Moderate,Occasional,Basic,None,Hybrid,Poor,7,7,0.90,High
PROJ_0197,Construction,45,1301392.02,35,9.76,12,Kanban,Junior,2,1,2.23,Closure,Stable,0.27,0.44,4,2.71,Critical,New,2,High,0.09,0.71,Strong,External,0.36,3.56,0.96,Medium,2.54,8,0.53,0.26,Junior PM,Ad-hoc,Medium,Poor,Stable,Cost-Plus,High,High,First-time,Advanced,Advanced,Fully Remote,Poor,1,10,0.93,High
PROJ_0198,IT,49,1506261.70,25,6.19,6,Waterfall,Mid-level,0,1,2.97,Planning,Unstable,0.01,0.33,2,5.90,Medium,Familiar,4,Low,0.01,0.80,Moderate,Government,0.89,3.63,0.87,High,0.16,3,0.90,0.93,Junior PM,Ad-hoc,Medium,Poor,Moderate,Cost-Plus,Medium,Extreme,Occasional,Basic,Advanced,Hybrid,Excellent,1,4,0.97,High
PROJ_0199,Construction,3,981725.24,11,7.47,17,Agile,Mixed,0,1,0.70,Closure,Moderate,0.35,0.64,0,4.73,High,Expert,3,Excellent,0.66,0.30,Strong,External,0.12,4.38,0.91,Medium,0.47,0,0.62,0.56,Senior PM,Defined,Medium,Excellent,Moderate,Fixed-Price,Medium,Low,Occasional,Advanced,Basic,Fully Remote,Basic,6,6,0.97,Medium
PROJ_0200,R&D,15,250514.14,32,9.78,18,Agile,Junior,0,1,2.13,Initiation,Moderate,0.42,0.56,4,4.32,High,Familiar,4,Excellent,0.54,0.65,Weak,External,0.39,1.28,0.39,Medium,1.47,0,0.70,0.74,Senior PM,Managed,Medium,Moderate,Poor,Time & Materials,Low,Extreme,Occasional,Formal,Basic,Fully Remote,Excellent,9,5,0.90,Critical
PROJ_0201,Healthcare,41,2113339.81,32,4.68,4,Hybrid,Mixed,2,0,2.68,Initiation,Unstable,0.00,0.97,0,5.40,Critical,New,1,Low,0.25,0.35,Moderate,Internal,0.77,9.63,0.91,Low,1.01,0,0.70,0.76,Junior PM,Defined,High,Good,Stable,Time & Materials,Medium,Extreme,First-time,Basic,Formal,Fully Remote,Excellent,2,10,0.96,Medium
PROJ_0202,Construction,25,1961497.94,29,5.05,18,Scrum,Mixed,2,3,1.20,Execution,Stable,0.39,0.32,1,2.64,Medium,New,1,Medium,0.69,0.96,Strong,Internal,0.09,6.03,0.96,High,0.66,2,0.96,0.66,Senior PM,Optimizing,High,Poor,Stable,Time & Materials,High,High,Strategic,Formal,Formal,Hybrid,Poor,5,2,1.19,High
PROJ_0203,Manufacturing,45,115744.59,18,7.81,10,Agile,Senior,1,2,2.63,Planning,Moderate,0.47,0.63,1,1.87,Low,New,3,Low,0.33,0.79,Strong,Government,0.62,1.00,0.74,Low,0.01,2,0.69,0.79,Junior PM,Ad-hoc,High,Excellent,Moderate,Cost-Plus,Low,Extreme,Regular,Advanced,Formal,Fully Remote,Basic,1,2,0.97,Critical
PROJ_0204,IT,17,1655453.33,6,3.68,3,Waterfall,Mixed,1,4,0.44,Initiation,Moderate,0.14,0.44,4,5.20,Medium,New,4,High,0.48,0.75,Strong,Government,0.65,7.36,0.76,High,0.88,4,0.73,0.21,Mid-level PM,Defined,Medium,Moderate,Stable,Time & Materials,Medium,Moderate,First-time,Advanced,Advanced,Hybrid,Excellent,7,8,1.17,Medium
PROJ_0205,R&D,25,2428303.14,27,8.82,17,Waterfall,Mid-level,2,0,0.72,Planning,Stable,0.28,0.88,0,4.12,Medium,Familiar,3,Excellent,0.37,0.94,Moderate,Internal,0.70,4.76,0.52,Critical,0.96,3,0.61,0.22,Mid-level PM,Ad-hoc,High,Excellent,Poor,Fixed-Price,High,Moderate,First-time,Formal,Advanced,Hybrid,Excellent,7,11,1.10,Low
PROJ_0206,IT,9,2627935.63,29,8.19,18,Kanban,Mid-level,2,4,1.43,Closure,Stable,0.34,0.90,4,6.40,Low,New,3,Excellent,0.27,0.38,Weak,Mixed,0.53,5.66,0.63,Critical,2.02,2,0.89,0.07,Mid-level PM,Defined,Low,Good,Moderate,Time & Materials,High,Extreme,First-time,Formal,Formal,Fully Remote,Excellent,11,1,0.81,Low
PROJ_0207,Construction,10,885677.51,16,2.29,9,Hybrid,Junior,4,1,1.43,Planning,Unstable,0.37,0.73,1,4.30,Critical,New,1,Low,0.36,0.90,Strong,Government,0.37,5.02,0.96,Medium,2.54,2,0.72,0.63,Senior PM,Managed,Strict,Poor,Moderate,Fixed-Price,High,Extreme,Regular,Formal,Advanced,Fully Remote,Basic,9,4,0.85,Low
PROJ_0208,IT,36,765537.21,9,1.78,6,Waterfall,Mid-level,2,0,0.78,Initiation,Stable,0.37,0.91,4,2.31,Critical,New,2,Low,0.84,0.90,Weak,External,0.99,3.74,0.51,Critical,0.31,6,0.77,0.14,Senior PM,Defined,Medium,Excellent,Stable,Fixed-Price,High,Low,First-time,Basic,Basic,Hybrid,Good,6,2,1.15,Low
PROJ_0209,R&D,48,938657.83,27,5.32,13,Kanban,Mid-level,3,2,0.24,Execution,Moderate,0.07,0.80,4,4.13,Low,New,2,High,0.45,0.41,Moderate,Internal,0.58,9.01,0.96,Low,2.05,1,0.72,0.30,Mid-level PM,Defined,Medium,Poor,Moderate,Time & Materials,Low,Low,Regular,Basic,Advanced,Fully Colocated,Basic,9,4,0.88,Low
PROJ_0210,R&D,47,2210584.64,25,2.69,13,Scrum,Junior,0,2,1.06,Closure,Stable,0.53,0.43,1,6.72,Medium,Expert,2,Excellent,0.50,0.47,Moderate,Mixed,0.16,4.91,0.53,Critical,0.09,3,0.97,0.13,Junior PM,Managed,Low,Excellent,Moderate,Time & Materials,High,Extreme,Strategic,Basic,Advanced,Fully Colocated,Poor,5,2,0.85,High
PROJ_0211,Construction,18,2713071.51,14,2.16,16,Scrum,Senior,2,1,2.65,Initiation,Stable,0.28,0.51,1,4.16,Medium,Familiar,1,Low,0.87,0.78,Weak,Government,0.80,4.52,0.77,Low,2.36,3,0.83,0.28,Senior PM,Optimizing,Strict,Good,Moderate,Fixed-Price,Medium,Extreme,Regular,Advanced,None,Hybrid,Excellent,2,3,1.20,Low
PROJ_0212,Manufacturing,20,1425616.94,13,3.74,6,Agile,Junior,1,2,2.75,Closure,Moderate,0.50,0.53,3,3.15,Low,New,2,High,0.58,0.54,Weak,Internal,0.55,3.45,0.30,High,2.23,4,0.55,0.68,Mid-level PM,Ad-hoc,Medium,Good,Stable,Fixed-Price,High,High,First-time,Advanced,None,Fully Remote,Excellent,10,9,0.93,High
PROJ_0213,IT,15,1382927.82,9,1.62,11,Scrum,Mid-level,2,2,1.34,Initiation,Stable,0.38,0.80,1,4.56,High,New,4,Low,0.65,0.77,Moderate,Internal,0.28,5.80,0.43,Critical,2.76,3,0.83,0.17,Mid-level PM,Optimizing,High,Excellent,Stable,Time & Materials,Low,High,Strategic,Formal,Basic,Hybrid,Basic,6,3,0.99,Low
PROJ_0214,Healthcare,27,395267.58,14,4.69,8,Kanban,Senior,4,2,2.95,Planning,Moderate,0.34,0.55,3,3.70,Critical,New,3,Low,0.66,0.44,Moderate,External,0.07,3.52,0.63,High,0.27,2,0.83,0.49,Junior PM,Defined,Low,Poor,Moderate,Time & Materials,Medium,Moderate,Occasional,Advanced,None,Fully Colocated,Poor,4,9,1.04,Low
PROJ_0215,IT,31,919506.19,16,8.10,18,Scrum,Mixed,4,3,0.17,Execution,Moderate,0.09,0.77,3,2.55,High,Expert,3,Medium,0.01,0.43,Moderate,Government,0.98,4.53,0.45,Critical,0.10,4,0.60,0.47,Mid-level PM,Optimizing,Strict,Poor,Poor,Fixed-Price,Low,Extreme,First-time,Formal,Formal,Hybrid,Basic,7,4,0.84,Low
PROJ_0216,Manufacturing,17,1362203.54,12,7.53,17,Agile,Mid-level,4,1,1.20,Execution,Unstable,0.52,0.66,1,2.55,Low,Expert,1,Medium,0.75,0.71,Moderate,Internal,0.45,4.00,0.65,Medium,0.97,6,0.63,0.46,Senior PM,Managed,Medium,Moderate,Poor,Time & Materials,Low,High,First-time,Basic,Formal,Fully Colocated,Excellent,3,7,0.90,High
PROJ_0217,IT,35,662506.89,9,9.38,5,Waterfall,Senior,3,0,2.49,Initiation,Moderate,0.08,0.49,4,2.96,Low,Expert,1,Low,0.09,0.93,Moderate,External,0.14,7.79,0.55,Low,0.74,7,0.44,0.49,Junior PM,Optimizing,High,Moderate,Moderate,Cost-Plus,Medium,Extreme,Occasional,Advanced,Basic,Fully Colocated,Poor,5,6,1.19,Critical
PROJ_0218,Healthcare,37,647853.58,26,9.21,9,Waterfall,Junior,4,2,1.03,Initiation,Moderate,0.19,0.59,1,2.07,Critical,Expert,1,Low,0.56,0.80,Weak,Government,0.03,2.24,0.38,Medium,0.67,8,0.54,0.14,Junior PM,Optimizing,Medium,Excellent,Moderate,Cost-Plus,Low,High,First-time,Formal,Basic,Fully Remote,Excellent,9,9,1.16,Low
PROJ_0219,Healthcare,3,2044526.22,6,3.92,2,Waterfall,Senior,3,0,2.63,Initiation,Moderate,0.50,0.94,1,4.72,Critical,New,4,Excellent,0.28,1.20,Weak,External,0.29,4.66,0.31,Critical,0.55,7,0.76,0.09,Junior PM,Defined,Strict,Good,Stable,Fixed-Price,Medium,High,First-time,Advanced,None,Hybrid,Basic,6,3,1.09,High
PROJ_0220,R&D,29,2670696.42,9,5.73,16,Scrum,Mixed,4,0,1.87,Planning,Stable,0.17,0.64,0,5.16,Low,Familiar,3,High,0.78,0.50,Weak,Government,0.91,6.96,0.42,Medium,1.99,9,0.53,0.83,Mid-level PM,Ad-hoc,Medium,Moderate,Stable,Fixed-Price,Low,Moderate,Strategic,Advanced,Formal,Fully Remote,Excellent,8,1,1.11,Low
PROJ_0221,R&D,22,2389836.36,5,5.59,12,Hybrid,Mid-level,0,3,1.15,Execution,Unstable,0.48,0.81,3,5.49,Low,Familiar,1,Low,0.33,0.44,Weak,External,0.33,9.23,0.36,High,0.18,0,0.60,0.15,Mid-level PM,Defined,Medium,Good,Moderate,Time & Materials,High,Moderate,Regular,Formal,Advanced,Fully Remote,Poor,1,10,0.91,Medium
PROJ_0222,Healthcare,7,584408.49,4,7.80,17,Scrum,Junior,3,2,1.15,Initiation,Unstable,0.38,0.72,3,6.63,High,Familiar,3,Medium,0.33,1.00,Weak,Government,0.13,8.39,0.59,High,2.64,2,0.95,0.29,Junior PM,Defined,Low,Excellent,Moderate,Cost-Plus,Low,Extreme,Occasional,Advanced,Advanced,Fully Remote,Good,8,5,1.09,Low
PROJ_0223,R&D,11,2953576.60,31,7.62,19,Hybrid,Junior,1,1,0.13,Initiation,Stable,0.02,0.31,2,3.18,High,Familiar,4,Medium,0.06,0.88,Moderate,Mixed,0.04,6.10,0.71,Low,0.91,1,0.78,0.81,Mid-level PM,Optimizing,Strict,Moderate,Poor,Fixed-Price,Medium,High,Occasional,Formal,None,Fully Colocated,Basic,3,11,1.18,High
PROJ_0224,Construction,34,1946979.88,4,9.93,12,Agile,Junior,4,4,2.07,Closure,Moderate,0.06,0.95,1,2.58,High,Familiar,2,Excellent,0.14,1.13,Strong,Government,0.43,3.68,0.82,Medium,2.35,6,0.95,0.70,Senior PM,Ad-hoc,High,Excellent,Moderate,Fixed-Price,Low,Moderate,First-time,Basic,None,Fully Remote,Basic,9,10,1.02,High
PROJ_0225,IT,8,2863097.27,31,1.84,10,Scrum,Mixed,2,2,2.98,Initiation,Unstable,0.40,0.81,4,5.78,Critical,Familiar,1,Medium,0.90,1.13,Strong,Mixed,0.73,3.04,0.53,Critical,1.96,8,0.72,0.53,Senior PM,Ad-hoc,Low,Poor,Poor,Fixed-Price,Medium,Extreme,Regular,Advanced,Formal,Fully Colocated,Excellent,9,8,1.13,Medium
PROJ_0226,Construction,43,1755360.01,3,2.71,18,Kanban,Senior,1,4,0.38,Closure,Moderate,0.42,0.37,0,1.96,Low,Expert,2,Medium,0.26,0.96,Moderate,Internal,0.66,5.03,0.46,Critical,0.83,5,0.88,0.83,Junior PM,Defined,High,Poor,Stable,Cost-Plus,Medium,Low,Occasional,Advanced,Formal,Hybrid,Excellent,3,10,1.05,Critical
PROJ_0227,Healthcare,20,1067756.01,11,4.88,7,Hybrid,Mid-level,3,2,0.34,Planning,Unstable,0.35,0.50,1,6.36,Low,Familiar,3,High,0.49,1.01,Weak,Government,0.02,7.83,0.74,High,1.51,1,0.94,0.07,Junior PM,Defined,Medium,Good,Poor,Cost-Plus,Medium,Low,Regular,Basic,Basic,Hybrid,Poor,7,8,0.88,Low
PROJ_0228,R&D,4,747003.67,25,5.96,2,Waterfall,Mid-level,1,0,0.34,Planning,Stable,0.43,0.52,3,4.43,High,Familiar,1,Low,0.97,0.85,Strong,Mixed,0.66,3.28,0.66,Critical,0.04,1,0.94,0.33,Mid-level PM,Defined,Strict,Poor,Moderate,Fixed-Price,High,Low,First-time,Basic,None,Fully Remote,Basic,4,3,0.80,Medium
PROJ_0229,Manufacturing,45,1753577.39,28,5.63,2,Kanban,Senior,3,4,0.97,Initiation,Stable,0.28,0.49,1,6.80,High,Expert,2,Medium,0.27,0.44,Weak,External,0.90,6.00,0.61,Critical,1.29,0,0.84,0.59,Mid-level PM,Ad-hoc,High,Moderate,Poor,Fixed-Price,Medium,Moderate,Regular,Advanced,Formal,Fully Remote,Poor,5,7,0.98,High
PROJ_0230,Manufacturing,26,2029216.72,33,1.92,15,Agile,Mixed,1,4,1.68,Planning,Moderate,0.31,0.93,4,3.57,Critical,Expert,4,Low,0.99,1.13,Weak,Internal,0.71,5.93,0.56,Low,1.40,3,0.86,0.69,Junior PM,Ad-hoc,High,Poor,Stable,Time & Materials,Medium,High,Strategic,Basic,Basic,Fully Remote,Excellent,9,1,1.14,Low
PROJ_0231,Healthcare,8,1039429.59,8,3.49,7,Agile,Mixed,2,0,0.85,Planning,Unstable,0.55,0.34,4,6.94,Critical,Expert,2,High,0.80,1.14,Moderate,Mixed,0.79,2.76,0.74,Critical,0.74,0,0.66,0.59,Mid-level PM,Ad-hoc,Low,Excellent,Poor,Fixed-Price,High,Low,First-time,Formal,Formal,Fully Remote,Good,2,10,1.13,Critical
PROJ_0232,Manufacturing,31,571885.52,13,6.90,7,Scrum,Mid-level,2,4,1.63,Initiation,Stable,0.27,0.43,4,4.27,High,New,3,Low,0.98,0.60,Weak,Mixed,0.10,5.22,0.80,High,2.06,5,0.91,0.37,Mid-level PM,Managed,Medium,Good,Stable,Time & Materials,Medium,Extreme,Occasional,Basic,Formal,Fully Remote,Poor,1,6,0.95,Medium
PROJ_0233,Healthcare,30,423440.64,5,3.52,5,Scrum,Mid-level,0,3,0.81,Planning,Unstable,0.46,0.39,1,4.11,High,Familiar,4,Excellent,0.73,1.12,Strong,External,0.47,1.15,0.37,Critical,1.58,1,0.52,0.52,Mid-level PM,Defined,High,Poor,Stable,Cost-Plus,Low,Moderate,First-time,Formal,Formal,Fully Colocated,Basic,5,9,1.18,Critical
PROJ_0234,R&D,8,2910296.01,12,9.75,18,Scrum,Junior,1,0,2.34,Planning,Stable,0.23,0.53,1,4.53,Low,Familiar,1,Low,0.53,0.50,Weak,Mixed,0.96,4.87,0.37,High,1.68,3,0.96,0.46,Mid-level PM,Optimizing,Low,Good,Poor,Fixed-Price,Low,Extreme,Occasional,Basic,Basic,Fully Remote,Poor,6,4,1.07,Medium
PROJ_0235,Manufacturing,11,1133722.09,31,3.39,7,Scrum,Senior,0,4,1.42,Planning,Unstable,0.55,0.71,1,1.89,Critical,Familiar,3,High,0.71,0.38,Weak,External,0.01,7.79,0.40,High,1.05,1,0.70,0.81,Junior PM,Defined,High,Moderate,Stable,Fixed-Price,Medium,Low,First-time,Basic,Advanced,Fully Remote,Excellent,9,8,0.83,High
PROJ_0236,Healthcare,32,1289954.50,9,7.59,10,Waterfall,Junior,2,1,1.08,Initiation,Unstable,0.17,0.83,2,5.94,Low,New,4,Medium,0.58,0.63,Weak,External,0.60,5.14,0.82,Medium,0.98,1,1.00,0.95,Junior PM,Defined,Strict,Good,Stable,Fixed-Price,High,Extreme,First-time,Advanced,Formal,Fully Remote,Poor,10,7,0.86,Medium
PROJ_0237,R&D,31,170903.61,33,5.98,16,Scrum,Junior,0,4,2.49,Execution,Unstable,0.27,0.80,3,3.81,High,New,4,Medium,0.26,0.59,Moderate,Mixed,0.74,8.85,0.95,Medium,2.47,6,0.45,0.87,Mid-level PM,Ad-hoc,Medium,Poor,Poor,Fixed-Price,High,High,First-time,Formal,None,Fully Remote,Good,7,7,1.17,Medium
PROJ_0238,IT,40,744512.47,6,1.79,9,Waterfall,Mixed,4,2,0.67,Initiation,Unstable,0.14,0.77,3,3.47,High,New,2,Low,0.36,0.97,Weak,Internal,0.26,9.93,0.46,Critical,2.64,6,0.55,0.32,Junior PM,Defined,Medium,Good,Moderate,Fixed-Price,High,High,First-time,Basic,Basic,Fully Remote,Excellent,11,7,1.17,Medium
PROJ_0239,R&D,38,2765937.01,11,1.43,6,Kanban,Junior,3,2,0.70,Initiation,Stable,0.22,0.78,3,2.69,Low,New,3,Low,0.31,1.20,Moderate,Mixed,0.58,5.55,0.73,Critical,2.49,4,0.85,0.72,Junior PM,Defined,Strict,Excellent,Moderate,Time & Materials,High,Extreme,First-time,Advanced,Formal,Fully Colocated,Poor,5,9,0.99,Low
PROJ_0240,Healthcare,42,842370.30,16,8.26,2,Agile,Senior,0,4,2.19,Planning,Stable,0.50,0.84,0,2.46,Low,Familiar,3,Medium,0.05,0.74,Strong,Internal,0.81,4.22,0.67,Low,2.70,1,0.91,0.36,Senior PM,Optimizing,Medium,Excellent,Poor,Time & Materials,Medium,Moderate,Occasional,Advanced,Formal,Hybrid,Basic,11,8,1.18,High
PROJ_0241,IT,36,2445089.02,5,5.35,11,Scrum,Senior,3,3,2.58,Initiation,Unstable,0.08,0.53,3,3.72,Low,New,2,Excellent,0.64,0.40,Strong,External,0.30,1.14,0.44,Medium,1.06,4,0.85,0.64,Junior PM,Defined,High,Excellent,Stable,Cost-Plus,High,Extreme,Strategic,Advanced,Formal,Fully Remote,Poor,1,6,0.81,Medium
PROJ_0242,IT,45,2164131.21,29,1.53,13,Agile,Mid-level,0,0,2.04,Closure,Unstable,0.46,0.73,4,4.85,High,New,4,Low,0.70,1.09,Weak,Government,0.06,7.05,0.66,Critical,0.01,1,0.98,0.58,Mid-level PM,Defined,Low,Good,Stable,Cost-Plus,Medium,Extreme,First-time,Formal,Formal,Hybrid,Poor,6,11,0.94,High
PROJ_0243,Manufacturing,39,1527505.37,32,1.97,3,Scrum,Junior,1,1,2.41,Initiation,Moderate,0.30,0.58,1,6.68,Low,Familiar,4,High,0.91,0.45,Moderate,Mixed,0.85,2.85,0.91,High,2.68,4,0.44,0.24,Junior PM,Ad-hoc,Medium,Poor,Poor,Fixed-Price,Medium,Extreme,Strategic,Basic,Basic,Fully Remote,Poor,8,3,1.17,Low
PROJ_0244,Healthcare,25,2894238.53,30,2.85,7,Agile,Mixed,0,1,0.84,Execution,Moderate,0.44,0.63,0,1.19,Critical,New,4,Excellent,0.62,0.67,Weak,Mixed,0.06,4.80,0.46,Medium,1.89,4,0.55,0.02,Senior PM,Defined,High,Poor,Moderate,Fixed-Price,High,High,First-time,Basic,Advanced,Fully Colocated,Excellent,8,9,1.00,Medium
PROJ_0245,IT,17,706456.55,12,10.00,4,Kanban,Mixed,2,2,0.20,Closure,Unstable,0.15,0.86,3,1.17,Medium,New,4,Excellent,0.47,0.66,Moderate,Government,0.06,3.33,0.65,Medium,0.71,5,0.70,0.82,Senior PM,Defined,Strict,Good,Moderate,Time & Materials,Medium,Moderate,Strategic,Advanced,Advanced,Fully Remote,Basic,4,2,1.15,Medium
PROJ_0246,R&D,13,708319.36,21,2.47,4,Waterfall,Mixed,0,3,1.38,Execution,Moderate,0.52,0.41,2,4.87,Low,Expert,4,Excellent,0.61,1.15,Strong,Government,0.32,6.85,0.62,Medium,1.14,8,0.49,0.08,Mid-level PM,Defined,High,Good,Poor,Cost-Plus,High,Moderate,Occasional,Formal,Basic,Hybrid,Basic,6,9,1.19,Critical
PROJ_0247,Construction,37,335459.47,32,7.95,13,Kanban,Mid-level,4,0,2.60,Execution,Stable,0.57,0.34,4,3.85,High,New,3,Medium,0.37,0.47,Moderate,Government,0.03,8.90,0.55,Medium,2.67,2,0.53,0.49,Junior PM,Ad-hoc,High,Poor,Poor,Cost-Plus,High,Moderate,Strategic,Formal,Formal,Hybrid,Poor,3,1,1.17,Critical
PROJ_0248,R&D,10,2786179.64,13,4.04,7,Scrum,Senior,2,1,2.69,Execution,Stable,0.49,0.48,1,2.50,Low,New,3,Excellent,0.40,0.65,Moderate,Government,0.19,8.12,0.41,Medium,0.28,6,0.85,0.31,Senior PM,Ad-hoc,Strict,Poor,Poor,Cost-Plus,High,High,Occasional,Advanced,None,Fully Colocated,Good,11,9,0.92,Critical
PROJ_0249,Manufacturing,15,628202.52,14,3.95,5,Hybrid,Mixed,1,1,0.32,Planning,Moderate,0.30,0.59,1,2.97,High,Familiar,3,Medium,0.42,0.51,Strong,Government,0.49,1.38,0.99,Low,0.47,6,0.83,0.75,Mid-level PM,Ad-hoc,Strict,Good,Stable,Time & Materials,Low,Low,First-time,Formal,Basic,Fully Colocated,Good,7,10,1.01,Low
PROJ_0250,IT,4,734645.41,29,7.53,12,Kanban,Senior,1,3,1.14,Initiation,Unstable,0.58,0.52,3,3.44,Medium,Expert,1,Low,0.73,0.70,Weak,Government,0.50,8.05,0.86,Critical,1.29,4,0.82,0.66,Senior PM,Defined,High,Excellent,Stable,Cost-Plus,Medium,Moderate,Occasional,Basic,Basic,Fully Remote,Excellent,3,9,0.80,High
PROJ_0251,Construction,13,494615.30,11,1.63,2,Agile,Mixed,2,4,2.33,Initiation,Moderate,0.12,0.83,3,2.00,Medium,Familiar,2,High,0.69,0.55,Moderate,Mixed,1.00,5.08,0.87,High,2.86,5,0.49,0.12,Junior PM,Optimizing,Low,Poor,Poor,Time & Materials,Low,Low,First-time,Formal,Formal,Hybrid,Basic,1,7,0.91,Low
PROJ_0252,Manufacturing,3,2750975.24,22,2.01,7,Hybrid,Mixed,3,0,2.63,Closure,Unstable,0.43,0.39,3,6.47,Critical,Expert,4,Medium,0.04,0.57,Moderate,Mixed,0.06,8.81,0.40,Low,2.50,2,0.86,0.94,Mid-level PM,Managed,Low,Excellent,Stable,Cost-Plus,Low,Moderate,Occasional,Formal,None,Fully Remote,Excellent,6,10,1.04,Critical
PROJ_0253,Healthcare,33,1561567.22,28,9.84,3,Waterfall,Mid-level,2,0,1.17,Closure,Unstable,0.12,0.35,4,2.76,Medium,Expert,3,High,0.17,0.87,Strong,Internal,0.58,9.97,0.30,Low,1.18,9,0.47,0.82,Senior PM,Defined,High,Excellent,Poor,Time & Materials,High,Low,Regular,Basic,Formal,Hybrid,Basic,3,3,0.91,Critical
PROJ_0254,Healthcare,16,869326.38,5,7.72,6,Waterfall,Mixed,3,4,2.95,Execution,Unstable,0.03,0.87,4,2.60,High,Familiar,4,High,0.11,0.96,Weak,External,0.22,9.24,0.72,High,1.25,4,0.98,0.15,Junior PM,Ad-hoc,High,Moderate,Moderate,Time & Materials,Low,Moderate,Occasional,Advanced,Basic,Hybrid,Excellent,11,7,0.85,Medium
PROJ_0255,IT,10,2796896.81,23,8.86,7,Scrum,Mixed,3,1,0.90,Planning,Unstable,0.55,0.94,0,6.37,Medium,Expert,4,Low,0.39,1.17,Strong,Government,0.58,9.01,0.66,Critical,1.74,9,0.57,0.83,Junior PM,Managed,Low,Poor,Stable,Fixed-Price,Medium,Extreme,First-time,Advanced,None,Fully Colocated,Excellent,10,9,0.88,Critical
